item_basico,nome_produto,preco,preco_original,desconto_percentual,em_oferta,loja_market_id,categoria_id,codigo_barras,estoque,slug,url_produto,categoria_busca,fonte
oleo,PIMENTA ISHASHI COM COMINHO 40G,7.57,7.57,0.0,False,355,13799,7896244830267,12,pimenta-ishashi-com-cominho-moida-40g,https://mercadinhossaoluiz.com.br/produto/pimenta-ishashi-com-cominho-moida-40g,oleo,Mercadinho São Luiz
oleo,MAIONESE HELLMANN`S TRADICIONAL EMBAL. ECONÔMICA SACHÊ 200G,7.53,7.53,0.0,False,355,13799,7894000030470,7,maionese-hellmanns-sache-200g,https://mercadinhossaoluiz.com.br/produto/maionese-hellmanns-sache-200g,oleo,Mercadinho São Luiz
oleo,MAIONESE ARISCO SACHÊ 196G,4.2,4.2,0.0,False,355,13799,7891700206952,20,maionese-arisco-196g,https://mercadinhossaoluiz.com.br/produto/maionese-arisco-196g,oleo,Mercadinho São Luiz
oleo,NOZ MOSCADA ISHASHI 30G,8.94,8.94,0.0,False,355,13799,7896244830274,19,noz-moscada-ishashi-30g-100872,https://mercadinhossaoluiz.com.br/produto/noz-moscada-ishashi-30g-100872,oleo,Mercadinho São Luiz
oleo,ERVAS FINAS ISHASHI 15G,5.32,5.32,0.0,False,355,13799,7896244830281,21,tempero-ishashi-15g-ervas-finas,https://mercadinhossaoluiz.com.br/produto/tempero-ishashi-15g-ervas-finas,oleo,Mercadinho São Luiz
oleo,MOLHO INGLÊS KENKO 150ML,5.67,5.67,0.0,False,355,13799,7896007811403,10,molho-ingles-kenko-150ml-364,https://mercadinhossaoluiz.com.br/produto/molho-ingles-kenko-150ml-364,oleo,Mercadinho São Luiz
oleo,MOLHO DE PIMENTA KENKO 150ML,5.67,5.67,0.0,False,355,13799,7896007811304,26,molho-pimenta-kenko-150ml,https://mercadinhossaoluiz.com.br/produto/molho-pimenta-kenko-150ml,oleo,Mercadinho São Luiz
oleo,MOLHO KENKO BARBECUE 180G,10.89,10.89,0.0,False,355,13799,7896007865802,12,molho-kenko-barbecue-180g,https://mercadinhossaoluiz.com.br/produto/molho-kenko-barbecue-180g,oleo,Mercadinho São Luiz
oleo,MOLHO DE TOMATE POMAROLA TRADICIONAL CAIXA 520G,9.46,9.46,0.0,False,355,13799,7896036095102,9,pomarola-tradicional-520g-tp-106845,https://mercadinhossaoluiz.com.br/produto/pomarola-tradicional-520g-tp-106845,oleo,Mercadinho São Luiz
oleo,CALDO KNORR CARNE 12 CUBOS,4.41,4.41,0.0,False,355,13799,7891150012363,19,caldo-knorr-carne-12-cubos,https://mercadinhossaoluiz.com.br/produto/caldo-knorr-carne-12-cubos,oleo,Mercadinho São Luiz
oleo,ALFAVACA SEMPRE VERDE UND,4.41,4.41,0.0,False,355,13799,7898259990479,1,alfavaca-sempre-verde-und,https://mercadinhossaoluiz.com.br/produto/alfavaca-sempre-verde-und,oleo,Mercadinho São Luiz
oleo,BOLDO SEMPRE VERDE UND,4.41,4.41,0.0,False,355,13799,7898259990486,1,boldo-sempre-verde-und,https://mercadinhossaoluiz.com.br/produto/boldo-sempre-verde-und,oleo,Mercadinho São Luiz
oleo,CORAMA SEMPRE VERDE UND,4.41,4.41,0.0,False,355,13799,7898259990462,2,corama-sempre-verde-und,https://mercadinhossaoluiz.com.br/produto/corama-sempre-verde-und,oleo,Mercadinho São Luiz
oleo,MALVA SEMPRE VERDE UND,4.41,4.41,0.0,False,355,13799,7898259990455,2,malva-sempre-verde-und,https://mercadinhossaoluiz.com.br/produto/malva-sempre-verde-und,oleo,Mercadinho São Luiz
oleo,COLORÍFICO KIMIMO S/SAL 100G,1.36,1.36,0.0,False,355,13799,7896490288874,100,colorau-colorifico-kimimo-100g,https://mercadinhossaoluiz.com.br/produto/colorau-colorifico-kimimo-100g,oleo,Mercadinho São Luiz
oleo,TEMPERO COMPLETO MAGGI MEU SEGREDO VEGETAIS 49G,4.37,4.37,0.0,False,355,13799,7891000006689,12,tempero-meu-segredo-maggi-49g-382,https://mercadinhossaoluiz.com.br/produto/tempero-meu-segredo-maggi-49g-382,oleo,Mercadinho São Luiz
oleo,LEITE DE COCO SOCOCO TRADICIONAL CAIXA 200ML,11.95,11.95,0.0,False,355,13799,7896004400372,6,leite-coco-sococo-tp-200ml,https://mercadinhossaoluiz.com.br/produto/leite-coco-sococo-tp-200ml,oleo,Mercadinho São Luiz
oleo,TEMPERO COMPLETO ARISCO COM PIMENTA 300G,9.46,9.46,0.0,False,355,13799,7891700011006,12,tempero-completo-arisco-com-pimenta-300g,https://mercadinhossaoluiz.com.br/produto/tempero-completo-arisco-com-pimenta-300g,oleo,Mercadinho São Luiz
oleo,TEMPERO SAZÓN ARROZ 60G,6.37,6.37,0.0,False,355,13799,7891132000449,12,tempero-sazon-arroz-floppy-60g,https://mercadinhossaoluiz.com.br/produto/tempero-sazon-arroz-floppy-60g,oleo,Mercadinho São Luiz
oleo,TEMPERO ORIENTAL HONDASHI 60G,15.95,15.95,0.0,False,355,13799,7891132040018,3,hondashi-48x6x10g,https://mercadinhossaoluiz.com.br/produto/hondashi-48x6x10g,oleo,Mercadinho São Luiz
oleo,AZEITE OLIVA PAGANINI EXTRA VIRGEM 250ML,58.52,58.52,0.0,False,355,13799,7898152990019,2,azeite-oliva-paganini-extra-virgem-250ml,https://mercadinhossaoluiz.com.br/produto/azeite-oliva-paganini-extra-virgem-250ml,oleo,Mercadinho São Luiz
oleo,ACETO BALSAMICO PAGANINI 500ML,36.2,36.2,0.0,False,355,13799,7898152990392,4,aceto-balsamico-paganini-500ml,https://mercadinhossaoluiz.com.br/produto/aceto-balsamico-paganini-500ml,oleo,Mercadinho São Luiz
oleo,AZEITE EXTRA VIRGEM ANDORINHA 500ML,42.0,42.0,0.0,False,355,13799,5601216120152,42,azeite-de-oliva-andorinha-extra-virgem-500ml,https://mercadinhossaoluiz.com.br/produto/azeite-de-oliva-andorinha-extra-virgem-500ml,oleo,Mercadinho São Luiz
oleo,MIX BARBECUE BR SPICES MOEDOR 64G,21.04,21.04,0.0,False,355,13799,7898946900972,2,barbecue-mix-br-spices-com-moedor-64g,https://mercadinhossaoluiz.com.br/produto/barbecue-mix-br-spices-com-moedor-64g,oleo,Mercadinho São Luiz
oleo,TEMPERO BR SPICES LEMON PEPPER 100G,20.95,20.95,0.0,False,355,13799,7898946900071,4,lemon-pepper-100g-pote-br-spices,https://mercadinhossaoluiz.com.br/produto/lemon-pepper-100g-pote-br-spices,oleo,Mercadinho São Luiz
oleo,POLPA DE TOMATE PAGANINI TRADICIONAL 690G,27.36,27.36,0.0,False,355,13799,7898152990040,9,polpa-tom-paganini-690g,https://mercadinhossaoluiz.com.br/produto/polpa-tom-paganini-690g,oleo,Mercadinho São Luiz
oleo,POLPA DE TOMATE PAGANINI CEBOLA E MANJERICÃO 690G,31.15,31.15,0.0,False,355,13799,7898152990057,7,polpa-de-tomate-com-manjericao-paganin-690g,https://mercadinhossaoluiz.com.br/produto/polpa-de-tomate-com-manjericao-paganin-690g,oleo,Mercadinho São Luiz
oleo,MOSTARDA MRS TASTE ZERO CALORIAS 350G,29.21,29.21,0.0,False,355,13799,7896573360350,4,mostarda-zero-mrs-taste-350g,https://mercadinhossaoluiz.com.br/produto/mostarda-zero-mrs-taste-350g,oleo,Mercadinho São Luiz
oleo,MOLHO P/ SALADA MRS TASTE ZERO SÓDIO ITALIANO 300ML,29.53,29.53,0.0,False,355,13799,7896573360329,3,molho-p-salada-italiano-mr-taste-300m,https://mercadinhossaoluiz.com.br/produto/molho-p-salada-italiano-mr-taste-300m,oleo,Mercadinho São Luiz
